https://encyklopedie.biooo.cz/vyhledat-slozeni/zmekcovadla/,Změkčovadla,"Emollients, plasticizers","Změkčovadla jsou chemické látky přidávané do různých materiálů, aby zlepšily jejich pružnost, měkkost a ohebnost. Nejčastěji se používají v plastech, pryži, barvách, lepidlech a kosmetických produktech. Jejich hlavní funkcí je snižovat křehkost a zlepšovat mechanické vlastnosti materiálů. Změkčovadla mohou být organického i anorganického původu a zahrnují širokou škálu chemických sloučenin jako jsou ftaláty, adipáty anebo i přírodní estery. Změkčovadla jako glycerin a propylenglykol se přidávají do kosmetických produktů, aby zlepšily jejich hydratační vlastnosti a zanechávaly pokožku měkkou a hebkou. V potravinářském průmyslu se používají změkčovadla pro výrobu flexibilních obalových materiálů a ve farmacii zajišťují lepší manipulaci a užívání léků. Některá tradiční změkčovadla mohou mít negativní dopady na zdraví a životní prostředí, moderní alternativy a přísné regulace pomáhají minimalizovat tato rizika. Jejich správné použití zajišťuje bezpečné a efektivní produkty pro spotřebitele."
https://encyklopedie.biooo.cz/vyhledat-slozeni/udrzitelny-material/,Udržitelný materiál,Sustainable materials,"Udržitelný materiál je termín, který označuje materiály, jejichž výroba, použití a likvidace mají minimální negativní dopad na životní prostředí a přispívají k dlouhodobé udržitelnosti ekosystémů. Tyto materiály jsou často vyrobeny z obnovitelných zdrojů a jsou recyklovatelné nebo biologicky rozložitelné. Materiál pochází z obnovitelných zdrojů, které mohou být rychle doplněny. Příkladem jsou rostlinné zdroje jako bambus nebo konopí. Mohou být snadno recyklovány a znovu použity bez významné ztráty kvality, jako jsou třeba některé kovy. Rovněž se přirozeně rozkládají bez negativního dopadu na životní prostředí a mají nízkou energetickou náročnost. Udržitelné materiály hrají klíčovou roli v ochraně životního prostředí a podpoře dlouhodobé udržitelnosti. Jejich využívání přináší ekologické, ekonomické a zdravotní výhody."
https://encyklopedie.biooo.cz/vyhledat-slozeni/thickening-agent/,Thickening agent,"Zahušťovadlo, Viscosifier","Thickening agent neboli zahušťovadlo je látka používaná v kosmetických a potravinářských výrobcích ke zvýšení viskozity produktu anebo ke změně jeho finální struktury. Výhodou je, že může měnit pouze viskozitu kapaliny bez toho, aby byly pozměněny i jiné vlastnosti dané látky. Zahušťovadla, která se používají v kosmetickém průmyslu nebo produktech osobní hygieny zahrnují viskózní kapaliny, jako je například polyethylenglykol, syntetické polymery či rostlinné gumy. Z přírodních zahušťovadel jsou nejznámější kukuřičný škrob, želatina nebo pektin. Některá zahušťovadla mohou také fungovat jako stabilizátory anebo změkčovadla. Je důležité dodržovat doporučené koncentrace a postupy při používání zahušťovadel, aby se minimalizovalo riziko nežádoucích účinků a zajistila optimální účinnost produktů."
https://encyklopedie.biooo.cz/vyhledat-slozeni/zvykackova-baze/,Žvýkačková báze,Gum base,"Žvýkačková báze je základní složka používaná při výrobě žvýkaček. Jedná se o směs elastomerů, pryskyřic a vosků, které společně tvoří žvýkací hmotu, která je stabilní a elastická. Složky se smíchají v přesně stanovených poměrech za tepla, aby se vytvořila homogenní směs. Směs se následně formuje do požadovaných tvarů a velikostí. Po ochlazení je připravena k dalšímu zpracování, jako je přidání příchutí a sladidel. Žvýkačková báze může být součástí některých balzámů na rty pro zajištění dlouhodobého účinku a ochrany. Žvýkačková báze musí splňovat přísné normy a předpisy stanovené potravinářskými a zdravotními úřady. Všechny složky musí být bezpečné pro lidskou spotřebu."
https://encyklopedie.biooo.cz/vyhledat-slozeni/vodni-emulze/,vodní emulze,Water emulsion,"Vodní emulze je typem kosmetické složky, která se skládá z vody a oleje nebo silikonu a je stabilizována pomocí emulgátorů. Tento typ formulace umožňuje spojení vodní a olejové fáze do jednotného produktu, což vede k vytvoření lehké, hydratační a snadno se vstřebávající textury. Díky své lehké konzistenci se vodní emulze snadno nanáší na pokožku a nezanechává mastný pocit, což je činí oblíbenou volbou pro různé typy pleti, včetně mastné, suché a citlivé pokožky. Přidává se do různých typů produktů, jako jsou hydratační krémy, tělová mléka i dekorativní kosmetika. Při výběru vhodné vodní emulze je nutno brát v potaz typ pleti a individuální potřeby uživatele."
https://encyklopedie.biooo.cz/vyhledat-slozeni/termodrevo/,Termodřevo,ThermoWood,"Termodřevo je tepelně upravené dřevo evropských dřevin, nejčastěji borovice, smrku, jasanu a topolu. Během procesu tepelné úpravy dochází k působení tepla a vodní páry při teplotách v rozmezí 160-215 °C bez působení jakýchkoliv chemických prostředků. Tento proces je šetrný k životnímu prostředí.  Tepelné zpracování zlepšuje trvanlivost dřeva společně s jeho fyzikálními a mechanickými vlastnostmi. Nejčastěji se takto zpracované dřevo využívá pro venkovní dřevěné fasády a dřevěné terasy. Rovněž se může používat jako obložení vnitřních stěn saun a saunového vybavení. Velkou výhodou termodřeva je, že má výrazně sníženou míru absorpce vlhkosti, má lepší tepelné izolační vlastnosti a má výraznou odolnost vůči hnilobě."
https://encyklopedie.biooo.cz/vyhledat-slozeni/ph-balancer/,pH balancer,pH regulátor,"pH balancer je chemická látka, která se používá k vyrovnání hodnot pH v těle, ať pokožky anebo například vaginálního pH. V případě vyrovnání hladin pH v těle se využívají doplňky stravy. Pokud se jedná o pokožku, používá se nejčastěji ve formě roztoků, sér či tonik. Vyrovnané pH je důležité pro zdraví – pokud se pohybuje v nižších hodnotách, zvyšuje se riziko přemnožení nechtěných mikroorganismů, které se nachází v těle i na povrchu pokožky. Rovnováha pH naší pokožky je zásadní pro udržení zdravé kožní bariéry, která chrání pokožku před znečišťujícími látkami z prostředí a ztrátou vody. Nevyvážené pH může narušit tuto bariéru a vést k několika kožním problémům, jako je suchost, citlivost, záněty a pupínky. Při vyšším pH se může stát, že některé metabolické pochody nebudou fungovat tak, jak mají."
https://encyklopedie.biooo.cz/vyhledat-slozeni/parfum-fragranceneurcity-puvod/,Parfum (Fragrance)/neurčitý původ,,"Ne vždy lze bezpečně určit, zda je parfemace čistě syntetického nebo přírodního původu. Může se jednat o směsi, které pochází z různých zdrojů a jsou spojeny, aby vytvořily určitý vonný celek. Při rozlišování neurčitých parfemací, mohou velmi dobře posloužit bio certifikáty, které ukáží spotřebiteli jasně a zřetelně, zda jsou vonné složky, které si odnáší domů ve zvoleném produktu čistě přírodního původu. Pokud se nevyznáte v certifikaci, hledejte produkty s mezinárodními certifikáty jako je např. Demeter, Cosmos, ECO-Cert, BDIH, USDA Organic a Charte Cosmebio."
https://encyklopedie.biooo.cz/vyhledat-slozeni/nugat/,Nugát,Nougat,"Nugát je sladká směs, jejíž základ tvoří směs cukru, medu a ořechů, jako jsou mandle nebo lískové oříšky. Proces výroby začíná smícháním těchto ingrediencí a následným zahříváním směsi, dokud nedosáhne požadované konzistence, buď křehké anebo žkýkací. Poté je nugát formován do forem a ponechán ztuhnout. Do samotného nugátu se mohou přidávat i další ingredience jako je ovoce či nějaká koření. Nugát má široké využití v různých dezertech, zmrzlině a čokoládě. Jeho bohatá chuť a křehká textura jsou oblíbené po celém světě. Nicméně, i když je tato pochoutka populární, může být problematická pro lidi s alergiemi na ořechy nebo ty, kteří dbají na příjem cukru a kalorií. Proto se doporučuje konzumovat s mírou a v rámci vyvážené stravy."
https://encyklopedie.biooo.cz/vyhledat-slozeni/parfemaceparfum-obecny-profil/,Parfemace/Parfum (obecný profil),"Fragrance, Aroma, Vůně, Příchuť","Parfemace se všeobecně používá k uživatelskému zpříjemnění produktu. Může být přírodního, syntetického nebo složeného původu. K parfemaci výrobků všeobecně se používají buď éterické oleje, extrakty z bylin a květin či ovoce anebo čistě laboratorně vyrobené vůně. Syntetické parfemace se řadí mezi produkty petrochemického průmyslu a nemají kromě vonného efektu v produktu žádný jiný přínos. Přírodní extrakty a éterické oleje působí nejen jako aromatická složka, ale podporují celkový pozitivní účinek výrobku."
